"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Otsoni [µg/m3]","Hengitettävät hiukkaset <10 µm [µg/m3]","Pienhiukkaset <2.5 µm [µg/m3]","Ilmanlaatuindeksi [1/5]"
"Helsinki Kallio 2","2020","4","20","20:00","70.2","11.1","1.8","2"
"Helsinki Kallio 2","2020","4","20","21:00","68","12.7","3.8","2"
"Helsinki Kallio 2","2020","4","20","22:00","68.6","10.4","3.7","2"
"Helsinki Kallio 2","2020","4","20","23:00","67","9.7","3.2","2"
"Helsinki Kallio 2","2020","4","21","00:00","65.2","10","4.2","2"
"Helsinki Kallio 2","2020","4","21","01:00","68","5.5","3.2","2"
"Helsinki Kallio 2","2020","4","21","02:00","70.5","3.9","2.2","2"
"Helsinki Kallio 2","2020","4","21","03:00","70","4.3","3","2"
"Helsinki Kallio 2","2020","4","21","04:00","66.1","3.6","2.7","2"
"Helsinki Kallio 2","2020","4","21","05:00","65","5","3.7","2"
"Helsinki Kallio 2","2020","4","21","06:00","60.2","8.3","5.3","2"
"Helsinki Kallio 2","2020","4","21","07:00","49.8","12.4","5.1","1"
"Helsinki Kallio 2","2020","4","21","08:00","43.4","20.2","4.1","2"
"Helsinki Kallio 2","2020","4","21","09:00","47.1","24.5","5.1","2"
"Helsinki Kallio 2","2020","4","21","10:00","62.7","23.3","6.5","2"
"Helsinki Kallio 2","2020","4","21","11:00","76.9","19.6","6.2","2"
"Helsinki Kallio 2","2020","4","21","12:00","80.3","14.1","3.6","2"
"Helsinki Kallio 2","2020","4","21","13:00","82.2","13.2","2.7","2"
"Helsinki Kallio 2","2020","4","21","14:00","85.6","11.6","0.4","2"
"Helsinki Kallio 2","2020","4","21","15:00","84.2","13.9","0.3","2"
"Helsinki Kallio 2","2020","4","21","16:00","84.2","13.6","1.1","2"
"Helsinki Kallio 2","2020","4","21","17:00","84","16.3","3.7","2"
"Helsinki Kallio 2","2020","4","21","18:00","84.5","16.9","4.5","2"
"Helsinki Kallio 2","2020","4","21","19:00","85.2","15.8","5.1","2"
"Helsinki Kallio 2","2020","4","21","20:00","84.3","12.2","0.8","2"
"Helsinki Kallio 2","2020","4","21","21:00","78.9","13.2","2.3","2"
"Helsinki Kallio 2","2020","4","21","22:00","67","18.1","4","2"
"Helsinki Kallio 2","2020","4","21","23:00","54.5","27.6","5.3","2"
"Helsinki Kallio 2","2020","4","22","00:00","46.9","34.3","8.1","2"
"Helsinki Kallio 2","2020","4","22","01:00","51.2","31.1","7.6","2"
"Helsinki Kallio 2","2020","4","22","02:00","66","13.8","5.6","2"
"Helsinki Kallio 2","2020","4","22","03:00","63.3","10.3","5.7","2"
"Helsinki Kallio 2","2020","4","22","04:00","56.5","11.1","6.2","1"
"Helsinki Kallio 2","2020","4","22","05:00","59.1","9.9","5.8","1"
"Helsinki Kallio 2","2020","4","22","06:00","58.5","8.8","4.9","1"
"Helsinki Kallio 2","2020","4","22","07:00","59","10.5","4.2","1"
"Helsinki Kallio 2","2020","4","22","08:00","57.7","18.2","5.1","1"
"Helsinki Kallio 2","2020","4","22","09:00","65.1","23.4","4.2","2"
"Helsinki Kallio 2","2020","4","22","10:00","66.7","20.8","3.4","2"
"Helsinki Kallio 2","2020","4","22","11:00","76.5","18.9","3.1","2"
"Helsinki Kallio 2","2020","4","22","12:00","81.4","14.1","4.3","2"
"Helsinki Kallio 2","2020","4","22","13:00","77.2","12.5","3.7","2"
"Helsinki Kallio 2","2020","4","22","14:00","80.2","11.4","2.9","2"
"Helsinki Kallio 2","2020","4","22","15:00","80.2","11.3","2.4","2"
"Helsinki Kallio 2","2020","4","22","16:00","77.5","11.6","2","2"
"Helsinki Kallio 2","2020","4","22","17:00","75.3","9.5","0.8","2"
"Helsinki Kallio 2","2020","4","22","18:00","82.8","11.5","3.9","2"
"Helsinki Kallio 2","2020","4","22","19:00","83.9","6.3","0.9","2"
"Helsinki Kallio 2","2020","4","22","20:00","85.2","8.2","0.3","2"
"Helsinki Kallio 2","2020","4","22","21:00","83.9","10.8","2.3","2"
"Helsinki Kallio 2","2020","4","22","22:00","81.2","10","2.8","2"
"Helsinki Kallio 2","2020","4","22","23:00","73.6","11","3","2"
"Helsinki Kallio 2","2020","4","23","00:00","68.6","14.3","4","2"
"Helsinki Kallio 2","2020","4","23","01:00","67.1","12.3","4.6","2"
"Helsinki Kallio 2","2020","4","23","02:00","65.4","10","3.7","2"
"Helsinki Kallio 2","2020","4","23","03:00","65","8.2","3.2","2"
"Helsinki Kallio 2","2020","4","23","04:00","65.9","7.3","3.3","2"
"Helsinki Kallio 2","2020","4","23","05:00","64.8","6.8","3.2","2"
"Helsinki Kallio 2","2020","4","23","06:00","61.6","7.6","3.4","2"
"Helsinki Kallio 2","2020","4","23","07:00","53.4","13.6","4.2","1"
"Helsinki Kallio 2","2020","4","23","08:00","44.2","23","4.5","2"
"Helsinki Kallio 2","2020","4","23","09:00","48.2","29.8","8.2","2"
"Helsinki Kallio 2","2020","4","23","10:00","57.6","27.8","5.4","2"
"Helsinki Kallio 2","2020","4","23","11:00","77.6","17.9","3.5","2"
"Helsinki Kallio 2","2020","4","23","12:00","75.9","19.4","7","2"
"Helsinki Kallio 2","2020","4","23","13:00","69","16.3","2.9","2"
"Helsinki Kallio 2","2020","4","23","14:00","70","14","3.4","2"
"Helsinki Kallio 2","2020","4","23","15:00","79.1","12.6","3.1","2"
"Helsinki Kallio 2","2020","4","23","16:00","75.1","14.2","3.4","2"
"Helsinki Kallio 2","2020","4","23","17:00","78.2","15","3","2"
"Helsinki Kallio 2","2020","4","23","18:00","89.4","5.5","-1.2","2"
"Helsinki Kallio 2","2020","4","23","19:00","88.6","11.5","1","2"
"Helsinki Kallio 2","2020","4","23","20:00","87.1","13.9","0.6","2"
"Helsinki Kallio 2","2020","4","23","21:00","83.8","8.6","-0.1","2"
"Helsinki Kallio 2","2020","4","23","22:00","76.5","10.7","2.7","2"
"Helsinki Kallio 2","2020","4","23","23:00","72.8","12.7","2.8","2"
"Helsinki Kallio 2","2020","4","24","00:00","71.9","10.9","2.8","2"
"Helsinki Kallio 2","2020","4","24","01:00","68.8","9.1","2.9","2"
"Helsinki Kallio 2","2020","4","24","02:00","72.2","5.7","1.8","2"
"Helsinki Kallio 2","2020","4","24","03:00","70.1","7.5","1.2","2"
"Helsinki Kallio 2","2020","4","24","04:00","64.9","7.6","2.7","2"
"Helsinki Kallio 2","2020","4","24","05:00","67.1","5.4","2.6","2"
"Helsinki Kallio 2","2020","4","24","06:00","71.7","4.6","1.6","2"
"Helsinki Kallio 2","2020","4","24","07:00","69.4","8.5","2.9","2"
"Helsinki Kallio 2","2020","4","24","08:00","61.7","12.6","3.1","2"
"Helsinki Kallio 2","2020","4","24","09:00","63.7","14.1","3.7","2"
"Helsinki Kallio 2","2020","4","24","10:00","68","13","3.3","2"
"Helsinki Kallio 2","2020","4","24","11:00","72.5","11.1","2","2"
"Helsinki Kallio 2","2020","4","24","12:00","76","11.5","1.5","2"
"Helsinki Kallio 2","2020","4","24","13:00","74.9","15.6","2.2","2"
"Helsinki Kallio 2","2020","4","24","14:00","78.2","15.3","1.9","2"
"Helsinki Kallio 2","2020","4","24","15:00","77.2","19.9","3.1","2"
"Helsinki Kallio 2","2020","4","24","16:00","78.7","13.1","0.9","2"
