"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Otsoni [µg/m3]","Hengitettävät hiukkaset <10 µm [µg/m3]","Pienhiukkaset <2.5 µm [µg/m3]","Ilmanlaatuindeksi [1/5]"
"Helsinki Kallio 2","2022","9","22","09:00","6.8","11.8","3.4","2"
"Helsinki Kallio 2","2022","9","22","10:00","11.9","13.2","4.6","1"
"Helsinki Kallio 2","2022","9","22","11:00","19.6","14.1","4.2","1"
"Helsinki Kallio 2","2022","9","22","12:00","37.8","7.7","2.4","1"
"Helsinki Kallio 2","2022","9","22","13:00","39.1","6.1","1.6","1"
"Helsinki Kallio 2","2022","9","22","14:00","36.2","7.3","3.5","1"
"Helsinki Kallio 2","2022","9","22","15:00","40.7","6.5","2","1"
"Helsinki Kallio 2","2022","9","22","16:00","38.3","6.3","3.9","1"
"Helsinki Kallio 2","2022","9","22","17:00","43.3","5.2","4.8","1"
"Helsinki Kallio 2","2022","9","22","18:00","49.4","4.8","3.1","1"
"Helsinki Kallio 2","2022","9","22","19:00","54.6","6","3.8","1"
"Helsinki Kallio 2","2022","9","22","20:00","47.9","5.3","3.7","1"
"Helsinki Kallio 2","2022","9","22","21:00","44","6.4","3.6","1"
"Helsinki Kallio 2","2022","9","22","22:00","35","8","5.2","1"
"Helsinki Kallio 2","2022","9","22","23:00","35.3","6.7","3.7","1"
"Helsinki Kallio 2","2022","9","23","00:00","37","5.5","3.5","1"
"Helsinki Kallio 2","2022","9","23","01:00","31","6.5","3.9","1"
"Helsinki Kallio 2","2022","9","23","02:00","22.9","7.6","4.1","1"
"Helsinki Kallio 2","2022","9","23","03:00","11.9","6.7","4.2","1"
"Helsinki Kallio 2","2022","9","23","04:00","15.8","5.7","4.4","1"
"Helsinki Kallio 2","2022","9","23","05:00","14.6","6.3","5.2","1"
"Helsinki Kallio 2","2022","9","23","06:00","11.6","7.1","4.6","1"
"Helsinki Kallio 2","2022","9","23","07:00","1.1","10.8","6.1","2"
"Helsinki Kallio 2","2022","9","23","08:00","1.4","13.9","6.6","2"
"Helsinki Kallio 2","2022","9","23","09:00","3.9","14.2","7.4","2"
"Helsinki Kallio 2","2022","9","23","10:00","7.2","16.3","7.8","1"
"Helsinki Kallio 2","2022","9","23","11:00","15.2","15.1","4.7","1"
"Helsinki Kallio 2","2022","9","23","12:00","23.6","15.7","3.5","1"
"Helsinki Kallio 2","2022","9","23","13:00","27.5","11","4.6","1"
"Helsinki Kallio 2","2022","9","23","14:00","30.3","8.6","5.4","1"
"Helsinki Kallio 2","2022","9","23","15:00","40.5","7.1","4.6","1"
"Helsinki Kallio 2","2022","9","23","16:00","49.4","5.1","2.8","1"
"Helsinki Kallio 2","2022","9","23","17:00","57","5.2","3","1"
"Helsinki Kallio 2","2022","9","23","18:00","59.9","3.3","2.5","1"
"Helsinki Kallio 2","2022","9","23","19:00","51.3","5.2","3.5","1"
"Helsinki Kallio 2","2022","9","23","20:00","46.4","5.4","3.4","1"
"Helsinki Kallio 2","2022","9","23","21:00","43.5","4.7","3.2","1"
"Helsinki Kallio 2","2022","9","23","22:00","50.9","5.1","3.7","1"
"Helsinki Kallio 2","2022","9","23","23:00","55","4","2.8","1"
"Helsinki Kallio 2","2022","9","24","00:00","52.8","4.7","4.1","1"
"Helsinki Kallio 2","2022","9","24","01:00","50.1","5.6","4.2","1"
"Helsinki Kallio 2","2022","9","24","02:00","50.7","5.1","3.9","1"
"Helsinki Kallio 2","2022","9","24","03:00","22.3","7.3","5.6","1"
"Helsinki Kallio 2","2022","9","24","04:00","20.1","8.4","6.6","1"
"Helsinki Kallio 2","2022","9","24","05:00","21.4","5.5","4.7","1"
"Helsinki Kallio 2","2022","9","24","06:00","27.2","4.2","3.9","1"
"Helsinki Kallio 2","2022","9","24","07:00","30.1","3.8","3.5","1"
"Helsinki Kallio 2","2022","9","24","08:00","29.3","3.6","2.7","1"
"Helsinki Kallio 2","2022","9","24","09:00","25.4","4.1","3.8","1"
"Helsinki Kallio 2","2022","9","24","10:00","29","4.9","4.2","1"
"Helsinki Kallio 2","2022","9","24","11:00","35.2","4.8","3.3","1"
"Helsinki Kallio 2","2022","9","24","12:00","47.9","3.6","2.7","1"
"Helsinki Kallio 2","2022","9","24","13:00","54.5","1","0.6","1"
"Helsinki Kallio 2","2022","9","24","14:00","50.4","3.8","3.1","1"
"Helsinki Kallio 2","2022","9","24","15:00","41","4.2","3.3","1"
"Helsinki Kallio 2","2022","9","24","16:00","42.8","6.6","4.7","1"
"Helsinki Kallio 2","2022","9","24","17:00","42.4","4.7","2.9","1"
"Helsinki Kallio 2","2022","9","24","18:00","32.1","4.4","2.9","1"
"Helsinki Kallio 2","2022","9","24","19:00","31.6","5.9","4.4","1"
"Helsinki Kallio 2","2022","9","24","20:00","35.4","6.4","4.3","1"
"Helsinki Kallio 2","2022","9","24","21:00","27.4","6.2","4.2","1"
"Helsinki Kallio 2","2022","9","24","22:00","24.3","7.2","4.6","1"
"Helsinki Kallio 2","2022","9","24","23:00","19.5","7.9","5.8","1"
"Helsinki Kallio 2","2022","9","25","00:00","17.1","7.8","6.3","1"
"Helsinki Kallio 2","2022","9","25","01:00","19.4","7.2","6.3","1"
"Helsinki Kallio 2","2022","9","25","02:00","18.2","8.2","6.8","1"
"Helsinki Kallio 2","2022","9","25","03:00","16.1","6.4","6","1"
"Helsinki Kallio 2","2022","9","25","04:00","24.8","5.6","4.7","1"
"Helsinki Kallio 2","2022","9","25","05:00","25.3","5.5","4.9","1"
"Helsinki Kallio 2","2022","9","25","06:00","22.9","4.9","4.4","1"
"Helsinki Kallio 2","2022","9","25","07:00","20.7","4.4","4.2","1"
"Helsinki Kallio 2","2022","9","25","08:00","19.4","4.8","4.2","1"
"Helsinki Kallio 2","2022","9","25","09:00","22.4","4.1","3.7","1"
"Helsinki Kallio 2","2022","9","25","10:00","25.9","2.9","2.1","1"
"Helsinki Kallio 2","2022","9","25","11:00","33","2.9","2.2","1"
"Helsinki Kallio 2","2022","9","25","12:00","37","2.9","2.4","1"
"Helsinki Kallio 2","2022","9","25","13:00","45.2","1","0.2","1"
"Helsinki Kallio 2","2022","9","25","14:00","47.7","2","0.9","1"
"Helsinki Kallio 2","2022","9","25","15:00","51.9","2.9","1.5","1"
"Helsinki Kallio 2","2022","9","25","16:00","51","4","3.5","1"
"Helsinki Kallio 2","2022","9","25","17:00","47.8","4.6","4","1"
"Helsinki Kallio 2","2022","9","25","18:00","50.8","3.5","2.2","1"
"Helsinki Kallio 2","2022","9","25","19:00","50.9","5.2","3.6","1"
"Helsinki Kallio 2","2022","9","25","20:00","46.1","5.2","4.1","1"
"Helsinki Kallio 2","2022","9","25","21:00","36.5","5.8","4.6","1"
"Helsinki Kallio 2","2022","9","25","22:00","27.9","6.9","4.9","1"
"Helsinki Kallio 2","2022","9","25","23:00","27.9","6.8","5.2","1"
"Helsinki Kallio 2","2022","9","26","00:00","23.3","6.3","4.3","1"
"Helsinki Kallio 2","2022","9","26","01:00","19.2","7.6","5.8","1"
"Helsinki Kallio 2","2022","9","26","02:00","23.4","5.8","4.4","1"
"Helsinki Kallio 2","2022","9","26","03:00","28.7","3.6","2.2","1"
"Helsinki Kallio 2","2022","9","26","04:00","25.2","3.2","4.1","1"
"Helsinki Kallio 2","2022","9","26","05:00","26","3.2","3.1","1"
"Helsinki Kallio 2","2022","9","26","06:00","25.6","3.9","3.3","1"
"Helsinki Kallio 2","2022","9","26","07:00","17.4","5.3","3.8","1"
"Helsinki Kallio 2","2022","9","26","08:00","2.9","9.8","4.5","1"
"Helsinki Kallio 2","2022","9","26","09:00","2","18.3","5.7","1"
"Helsinki Kallio 2","2022","9","26","10:00","9.3","26.8","7.2","2"
"Helsinki Kallio 2","2022","9","26","11:00","35.5","11.5","4.2","1"
"Helsinki Kallio 2","2022","9","26","12:00","48.4","7.9","4.1","1"
"Helsinki Kallio 2","2022","9","26","13:00","43","10.3","5.2","1"
"Helsinki Kallio 2","2022","9","26","14:00","42","9.5","4.9","1"
"Helsinki Kallio 2","2022","9","26","15:00","52.3","6.9","2.8","1"
"Helsinki Kallio 2","2022","9","26","16:00","59","6.2","2.8","1"
"Helsinki Kallio 2","2022","9","26","17:00","57.8","10.1","3.8","1"
"Helsinki Kallio 2","2022","9","26","18:00","55.4","10.6","5","1"
"Helsinki Kallio 2","2022","9","26","19:00","57.1","8.7","4.1","1"
"Helsinki Kallio 2","2022","9","26","20:00","58.8","7.3","4.9","1"
"Helsinki Kallio 2","2022","9","26","21:00","55.3","7.6","5.2","1"
"Helsinki Kallio 2","2022","9","26","22:00","53.2","5.8","4","1"
"Helsinki Kallio 2","2022","9","26","23:00","57.2","5.1","2.6","1"
"Helsinki Kallio 2","2022","9","27","00:00","57.1","5.3","3.5","1"
"Helsinki Kallio 2","2022","9","27","01:00","54.2","4.5","3.7","1"
"Helsinki Kallio 2","2022","9","27","02:00","53.5","3.5","2.7","1"
"Helsinki Kallio 2","2022","9","27","03:00","54.8","3.1","2.1","1"
"Helsinki Kallio 2","2022","9","27","04:00","51","3.5","2.6","1"
"Helsinki Kallio 2","2022","9","27","05:00","49.8","4.2","2.9","1"
"Helsinki Kallio 2","2022","9","27","06:00","44","5.5","4.2","1"
"Helsinki Kallio 2","2022","9","27","07:00","39.3","8.4","6.9","1"
"Helsinki Kallio 2","2022","9","27","08:00","31.8","9.9","7.1","1"
"Helsinki Kallio 2","2022","9","27","09:00","34.3","10.5","6.7","1"
"Helsinki Kallio 2","2022","9","27","10:00","32.4","12","6.4","1"
"Helsinki Kallio 2","2022","9","27","11:00","35","12.8","5","1"
"Helsinki Kallio 2","2022","9","27","12:00","43.2","11","3.1","1"
"Helsinki Kallio 2","2022","9","27","13:00","48.3","13.8","2.5","1"
"Helsinki Kallio 2","2022","9","27","14:00","52.5","15.8","4.4","1"
"Helsinki Kallio 2","2022","9","27","15:00","56","11.2","4.4","1"
"Helsinki Kallio 2","2022","9","27","16:00","60.6","9.4","4.5","2"
"Helsinki Kallio 2","2022","9","27","17:00","52.8","9.8","4","1"
"Helsinki Kallio 2","2022","9","27","18:00","50.1","8.4","2.7","1"
"Helsinki Kallio 2","2022","9","27","19:00","48.7","7.5","3","1"
"Helsinki Kallio 2","2022","9","27","20:00","52.5","5.4","2.4","1"
"Helsinki Kallio 2","2022","9","27","21:00","50.3","5.4","3.3","1"
"Helsinki Kallio 2","2022","9","27","22:00","46.4","4.8","3.5","1"
"Helsinki Kallio 2","2022","9","27","23:00","44.6","3.9","1.9","1"
"Helsinki Kallio 2","2022","9","28","00:00","40.8","3.4","2.6","1"
"Helsinki Kallio 2","2022","9","28","01:00","32.7","4","3.9","1"
"Helsinki Kallio 2","2022","9","28","02:00","28.6","3.8","3","1"
"Helsinki Kallio 2","2022","9","28","03:00","28.9","3.9","3.4","1"
"Helsinki Kallio 2","2022","9","28","04:00","25.5","4","3.5","1"
"Helsinki Kallio 2","2022","9","28","05:00","15.9","4.4","4","1"
"Helsinki Kallio 2","2022","9","28","06:00","13.3","7.5","6.2","1"
"Helsinki Kallio 2","2022","9","28","07:00","11.8","9.1","6.8","1"
"Helsinki Kallio 2","2022","9","28","08:00","6.7","10","8.5","1"
"Helsinki Kallio 2","2022","9","28","09:00","8.7","10","7.2","1"
"Helsinki Kallio 2","2022","9","28","10:00","13.1","9.9","6.6","1"
"Helsinki Kallio 2","2022","9","28","11:00","26.4","8.5","5.3","1"
"Helsinki Kallio 2","2022","9","28","12:00","32.9","7.7","3.6","1"
"Helsinki Kallio 2","2022","9","28","13:00","35","9.5","4","1"
"Helsinki Kallio 2","2022","9","28","14:00","31.7","12.2","5.6","1"
"Helsinki Kallio 2","2022","9","28","15:00","50.4","6.4","2.3","1"
"Helsinki Kallio 2","2022","9","28","16:00","44.1","11.5","5.1","1"
"Helsinki Kallio 2","2022","9","28","17:00","45.8","7.1","3.9","1"
"Helsinki Kallio 2","2022","9","28","18:00","48.8","6.8","4","1"
"Helsinki Kallio 2","2022","9","28","19:00","40.5","5.3","3.7","1"
"Helsinki Kallio 2","2022","9","28","20:00","28.6","6.6","4.2","1"
"Helsinki Kallio 2","2022","9","28","21:00","20.1","4.8","3.6","1"
"Helsinki Kallio 2","2022","9","28","22:00","14.8","2.1","2.3","1"
"Helsinki Kallio 2","2022","9","28","23:00","13.4","1.9","1.6","1"
"Helsinki Kallio 2","2022","9","29","00:00","17.2","2.3","2.2","1"
"Helsinki Kallio 2","2022","9","29","01:00","23","2","1.9","1"
"Helsinki Kallio 2","2022","9","29","02:00","24.5","1.9","1.3","1"
"Helsinki Kallio 2","2022","9","29","03:00","24.8","0.6","0.4","1"
"Helsinki Kallio 2","2022","9","29","04:00","26.2","1.9","2.3","1"
"Helsinki Kallio 2","2022","9","29","05:00","25.9","2.4","1.9","1"
"Helsinki Kallio 2","2022","9","29","06:00","24.3","1.4","1.5","1"
"Helsinki Kallio 2","2022","9","29","07:00","19.5","1.5","1.5","1"
"Helsinki Kallio 2","2022","9","29","08:00","13.6","2","1.5","1"
"Helsinki Kallio 2","2022","9","29","09:00","13.2","2.8","2","1"
"Helsinki Kallio 2","2022","9","29","10:00","19.8","2.3","1.5","1"
"Helsinki Kallio 2","2022","9","29","11:00","20","4","2.4","1"
"Helsinki Kallio 2","2022","9","29","12:00","17.3","4.4","2.5","1"
"Helsinki Kallio 2","2022","9","29","13:00","17.4","4.5","3.1","1"
"Helsinki Kallio 2","2022","9","29","14:00","17","4.6","3.5","1"
"Helsinki Kallio 2","2022","9","29","15:00","14","4.8","4.2","1"
"Helsinki Kallio 2","2022","9","29","16:00","13.5","4.4","3.7","1"
"Helsinki Kallio 2","2022","9","29","17:00","18","3.8","1.3","1"
"Helsinki Kallio 2","2022","9","29","18:00","38.3","5.8","5.3","1"
"Helsinki Kallio 2","2022","9","29","19:00","33.9","4.2","3.8","1"
"Helsinki Kallio 2","2022","9","29","20:00","25.9","2.2","1.5","1"
"Helsinki Kallio 2","2022","9","29","21:00","15.3","4","4","1"
"Helsinki Kallio 2","2022","9","29","22:00","12","4.9","5.6","1"
"Helsinki Kallio 2","2022","9","29","23:00","10.9","3.9","4.3","1"
"Helsinki Kallio 2","2022","9","30","00:00","8.9","5.1","5.1","1"
"Helsinki Kallio 2","2022","9","30","01:00","8.4","4.4","4.6","1"
"Helsinki Kallio 2","2022","9","30","02:00","11.5","2.7","3.1","1"
"Helsinki Kallio 2","2022","9","30","03:00","10.3","2.7","3.5","1"
"Helsinki Kallio 2","2022","9","30","04:00","6","3","3.3","1"
"Helsinki Kallio 2","2022","9","30","05:00","6.7","3.5","3.8","1"
"Helsinki Kallio 2","2022","9","30","06:00","6.5","2.5","2","1"
"Helsinki Kallio 2","2022","9","30","07:00","6.1","3.1","3.9","1"
"Helsinki Kallio 2","2022","9","30","08:00","2.2","6.3","6.6","1"
"Helsinki Kallio 2","2022","9","30","09:00","1.7","5.1","5.5","1"
"Helsinki Kallio 2","2022","9","30","10:00","13.2","4.5","4.9","1"
"Helsinki Kallio 2","2022","9","30","11:00","14.9","6.1","3.7","1"
"Helsinki Kallio 2","2022","9","30","12:00","29","4.2","2.9","1"
"Helsinki Kallio 2","2022","9","30","13:00","30.9","3.3","3.9","1"
"Helsinki Kallio 2","2022","9","30","14:00","34.2","1.3","1.9","1"
"Helsinki Kallio 2","2022","9","30","15:00","32.2","2.5","1.8","1"
"Helsinki Kallio 2","2022","9","30","16:00","30.9","3.5","3.5","1"
"Helsinki Kallio 2","2022","9","30","17:00","29.9","4.1","3.9","1"
"Helsinki Kallio 2","2022","9","30","18:00","30","5.6","3.3","1"
"Helsinki Kallio 2","2022","9","30","19:00","31.1","5.5","3.1","1"
"Helsinki Kallio 2","2022","9","30","20:00","27.6","5.2","4","1"
"Helsinki Kallio 2","2022","9","30","21:00","25.1","5.2","4.5","1"
"Helsinki Kallio 2","2022","9","30","22:00","24.6","5","3.8","1"
"Helsinki Kallio 2","2022","9","30","23:00","24","5.2","3.9","1"
"Helsinki Kallio 2","2022","10","1","00:00","19.6","6.5","4.8","1"
"Helsinki Kallio 2","2022","10","1","01:00","26.1","4.9","2","1"
"Helsinki Kallio 2","2022","10","1","02:00","27.7","4.9","4","1"
"Helsinki Kallio 2","2022","10","1","03:00","29.5","2.9","2.6","1"
"Helsinki Kallio 2","2022","10","1","04:00","22.9","5.3","3.6","1"
"Helsinki Kallio 2","2022","10","1","05:00","18.9","4.7","2.5","1"
"Helsinki Kallio 2","2022","10","1","06:00","8.9","6.5","2.6","1"
"Helsinki Kallio 2","2022","10","1","07:00","1.5","9","4.8","1"
"Helsinki Kallio 2","2022","10","1","08:00","27.7","8.2","4.6","1"
"Helsinki Kallio 2","2022","10","1","09:00","54.2","2.6","1.8","1"
"Helsinki Kallio 2","2022","10","1","10:00","43.3","3.8","3.3","1"
"Helsinki Kallio 2","2022","10","1","11:00","52.7","4.8","3.7","1"
"Helsinki Kallio 2","2022","10","1","12:00","51.7","4.1","2.3","1"
"Helsinki Kallio 2","2022","10","1","13:00","54.3","3.5","1.1","1"
"Helsinki Kallio 2","2022","10","1","14:00","56.2","4.2","3.3","1"
"Helsinki Kallio 2","2022","10","1","15:00","54.2","4.7","2.2","1"
"Helsinki Kallio 2","2022","10","1","16:00","53.6","4.4","4.4","1"
"Helsinki Kallio 2","2022","10","1","17:00","50.7","5","4.1","1"
"Helsinki Kallio 2","2022","10","1","18:00","35.9","6.2","3.5","1"
"Helsinki Kallio 2","2022","10","1","19:00","44.6","6","4","1"
"Helsinki Kallio 2","2022","10","1","20:00","40.3","6","3.3","1"
"Helsinki Kallio 2","2022","10","1","21:00","44.5","5.8","3.6","1"
"Helsinki Kallio 2","2022","10","1","22:00","47.1","8","4.8","1"
"Helsinki Kallio 2","2022","10","1","23:00","44.5","5.8","4.1","1"
"Helsinki Kallio 2","2022","10","2","00:00","38.8","7.4","5.5","1"
"Helsinki Kallio 2","2022","10","2","01:00","35","7.1","6","1"
"Helsinki Kallio 2","2022","10","2","02:00","37","6.1","4.8","1"
"Helsinki Kallio 2","2022","10","2","03:00","34.6","6.6","5.2","1"
"Helsinki Kallio 2","2022","10","2","04:00","35.1","6.6","5.2","1"
"Helsinki Kallio 2","2022","10","2","05:00","39.5","5.6","4.6","1"
"Helsinki Kallio 2","2022","10","2","06:00","38.9","5.7","4.9","1"
"Helsinki Kallio 2","2022","10","2","07:00","41.4","4","4.1","1"
"Helsinki Kallio 2","2022","10","2","08:00","37.7","5.2","4.4","1"
"Helsinki Kallio 2","2022","10","2","09:00","39.2","5.2","4.4","1"
"Helsinki Kallio 2","2022","10","2","10:00","37.9","5.6","4.2","1"
"Helsinki Kallio 2","2022","10","2","11:00","37.5","4.7","3.9","1"
"Helsinki Kallio 2","2022","10","2","12:00","42.6","5.8","3.7","1"
"Helsinki Kallio 2","2022","10","2","13:00","44.7","5.1","3.2","1"
"Helsinki Kallio 2","2022","10","2","14:00","47.5","2.5","1.9","1"
"Helsinki Kallio 2","2022","10","2","15:00","48.5","3.8","3","1"
"Helsinki Kallio 2","2022","10","2","16:00","49.5","5.2","4.7","1"
"Helsinki Kallio 2","2022","10","2","17:00","53.9","5.7","4.9","1"
"Helsinki Kallio 2","2022","10","2","18:00","53.1","6.4","5.3","1"
"Helsinki Kallio 2","2022","10","2","19:00","54.2","4.5","3.8","1"
"Helsinki Kallio 2","2022","10","2","20:00","55.4","6.3","4.9","1"
"Helsinki Kallio 2","2022","10","2","21:00","42.4","7.5","6.1","1"
"Helsinki Kallio 2","2022","10","2","22:00","35.6","7","6","1"
"Helsinki Kallio 2","2022","10","2","23:00","34.3","6.9","6","1"
"Helsinki Kallio 2","2022","10","3","00:00","31.1","6.5","5.8","1"
"Helsinki Kallio 2","2022","10","3","01:00","32.5","6","5.2","1"
"Helsinki Kallio 2","2022","10","3","02:00","27.9","5.7","5.1","1"
"Helsinki Kallio 2","2022","10","3","03:00","23.3","5.6","5.2","1"
"Helsinki Kallio 2","2022","10","3","04:00","25.3","2.5","2.6","1"
"Helsinki Kallio 2","2022","10","3","05:00","29.5","3.9","3.3","1"
"Helsinki Kallio 2","2022","10","3","06:00","24.8","4.6","5","1"
"Helsinki Kallio 2","2022","10","3","07:00","18.1","6.2","5","1"
"Helsinki Kallio 2","2022","10","3","08:00","9.7","8.9","6.3","1"
"Helsinki Kallio 2","2022","10","3","09:00","7.4","11.5","7.4","1"
"Helsinki Kallio 2","2022","10","3","10:00","6.5","13.9","7","1"
"Helsinki Kallio 2","2022","10","3","11:00","10.3","14.7","7.3","1"
"Helsinki Kallio 2","2022","10","3","12:00","14.7","11.4","6","1"
"Helsinki Kallio 2","2022","10","3","13:00","18.2","10.8","6.3","1"
"Helsinki Kallio 2","2022","10","3","14:00","22.2","8","3.8","1"
"Helsinki Kallio 2","2022","10","3","15:00","23.5","9.7","4.9","1"
"Helsinki Kallio 2","2022","10","3","16:00","26.4","8.2","3.9","1"
"Helsinki Kallio 2","2022","10","3","17:00","31.6","7.9","4.1","1"
"Helsinki Kallio 2","2022","10","3","18:00","39.6","6.9","4.4","1"
"Helsinki Kallio 2","2022","10","3","19:00","37.4","6.6","3.7","1"
"Helsinki Kallio 2","2022","10","3","20:00","37.8","6.8","3.9","1"
"Helsinki Kallio 2","2022","10","3","21:00","42.5","5.4","3.8","1"
"Helsinki Kallio 2","2022","10","3","22:00","47.2","4.4","2.6","1"
"Helsinki Kallio 2","2022","10","3","23:00","42.7","3.7","2.6","1"
"Helsinki Kallio 2","2022","10","4","00:00","43.4","3","1.8","1"
"Helsinki Kallio 2","2022","10","4","01:00","50","3.9","1.2","1"
"Helsinki Kallio 2","2022","10","4","02:00","51.3","4.9","2","1"
"Helsinki Kallio 2","2022","10","4","03:00","50.4","4","2.7","1"
"Helsinki Kallio 2","2022","10","4","04:00","51","3.1","2.3","1"
"Helsinki Kallio 2","2022","10","4","05:00","51.7","3.2","2","1"
"Helsinki Kallio 2","2022","10","4","06:00","48.6","3.7","2.9","1"
"Helsinki Kallio 2","2022","10","4","07:00","41.9","5.1","3.9","1"
"Helsinki Kallio 2","2022","10","4","08:00","33.8","8.2","4.2","1"
"Helsinki Kallio 2","2022","10","4","09:00","31.1","12.4","6.5","1"
"Helsinki Kallio 2","2022","10","4","10:00","31.8","16.7","9.9","1"
"Helsinki Kallio 2","2022","10","4","11:00","32.8","10.4","5.7","1"
"Helsinki Kallio 2","2022","10","4","12:00","32.8","7.7","4.1","1"
"Helsinki Kallio 2","2022","10","4","13:00","33.4","8.9","5.7","1"
"Helsinki Kallio 2","2022","10","4","14:00","30.6","8","4.8","1"
"Helsinki Kallio 2","2022","10","4","15:00","29.6","10.2","5.6","1"
"Helsinki Kallio 2","2022","10","4","16:00","32.5","5.6","2.3","1"
"Helsinki Kallio 2","2022","10","4","17:00","42","7.8","4.3","1"
"Helsinki Kallio 2","2022","10","4","18:00","45.8","5","3.1","1"
"Helsinki Kallio 2","2022","10","4","19:00","49.4","6.1","4.6","1"
"Helsinki Kallio 2","2022","10","4","20:00","55.8","5.7","3.8","1"
"Helsinki Kallio 2","2022","10","4","21:00","62.8","4.1","3.2","2"
"Helsinki Kallio 2","2022","10","4","22:00","66.2","3.5","2.3","2"
"Helsinki Kallio 2","2022","10","4","23:00","60.7","4.2","3.3","2"
"Helsinki Kallio 2","2022","10","5","00:00","56.3","3.8","3.1","1"
"Helsinki Kallio 2","2022","10","5","01:00","54.9","4.6","4.3","1"
"Helsinki Kallio 2","2022","10","5","02:00","49.1","4.5","4.1","1"
"Helsinki Kallio 2","2022","10","5","03:00","44.4","3.2","3.2","1"
"Helsinki Kallio 2","2022","10","5","04:00","40.8","3","2","1"
"Helsinki Kallio 2","2022","10","5","05:00","34.8","4.1","2.8","1"
"Helsinki Kallio 2","2022","10","5","06:00","29.1","5.6","2.9","1"
"Helsinki Kallio 2","2022","10","5","07:00","14.4","7","2.9","1"
"Helsinki Kallio 2","2022","10","5","08:00","12.5","12.7","5.7","2"
"Helsinki Kallio 2","2022","10","5","09:00","11.3","15.6","6.8","2"
"Helsinki Kallio 2","2022","10","5","10:00","33.2","6.1","2.9","1"
"Helsinki Kallio 2","2022","10","5","11:00","13.4","9.2","7.2","2"
"Helsinki Kallio 2","2022","10","5","12:00","17.8","7.8","5.5","1"
"Helsinki Kallio 2","2022","10","5","13:00","17.7","6","3.9","1"
"Helsinki Kallio 2","2022","10","5","14:00","24.2","7.5","5.5","1"
"Helsinki Kallio 2","2022","10","5","15:00","29.9","9.2","5.5","1"
"Helsinki Kallio 2","2022","10","5","16:00","34.7","12.2","6.3","1"
"Helsinki Kallio 2","2022","10","5","17:00","41.8","12","5.8","1"
"Helsinki Kallio 2","2022","10","5","18:00","40.7","11.8","6.9","1"
"Helsinki Kallio 2","2022","10","5","19:00","40.5","12","6.9","1"
"Helsinki Kallio 2","2022","10","5","20:00","41.2","10.7","6.7","1"
"Helsinki Kallio 2","2022","10","5","21:00","48.1","11.1","6.9","1"
"Helsinki Kallio 2","2022","10","5","22:00","44","8","6.7","1"
"Helsinki Kallio 2","2022","10","5","23:00","44.3","8.9","6.1","1"
"Helsinki Kallio 2","2022","10","6","00:00","47.3","8.9","5.6","1"
"Helsinki Kallio 2","2022","10","6","01:00","46.8","9.3","6.1","1"
"Helsinki Kallio 2","2022","10","6","02:00","48.3","11.3","6.6","1"
"Helsinki Kallio 2","2022","10","6","03:00","49.5","10.9","5.7","1"
"Helsinki Kallio 2","2022","10","6","04:00","55.6","9.2","5.3","1"
"Helsinki Kallio 2","2022","10","6","05:00","60","5.3","2.4","2"
"Helsinki Kallio 2","2022","10","6","06:00","56.1","5.8","3.2","1"
"Helsinki Kallio 2","2022","10","6","07:00","53.3","5","2.6","1"
"Helsinki Kallio 2","2022","10","6","08:00","52.3","5.7","3.5","1"
"Helsinki Kallio 2","2022","10","6","09:00","51.5","6.3","3.4","1"
"Helsinki Kallio 2","2022","10","6","10:00","52.3","7","4.1","1"
"Helsinki Kallio 2","2022","10","6","11:00","52.5","9.7","5.3","1"
"Helsinki Kallio 2","2022","10","6","12:00","53.1","8","5.9","1"
"Helsinki Kallio 2","2022","10","6","13:00","49.9","3.6","3.9","1"
"Helsinki Kallio 2","2022","10","6","14:00","57","4.4","4.1","1"
"Helsinki Kallio 2","2022","10","6","15:00","60.3","4.4","4.5","2"
"Helsinki Kallio 2","2022","10","6","16:00","66.1","3.4","4.1","2"
"Helsinki Kallio 2","2022","10","6","17:00","65.2","3.5","4.2","2"
"Helsinki Kallio 2","2022","10","6","18:00","59.2","4.5","3.1","1"
"Helsinki Kallio 2","2022","10","6","19:00","57.3","5.7","3.6","1"
"Helsinki Kallio 2","2022","10","6","20:00","58.2","7","4.2","1"
"Helsinki Kallio 2","2022","10","6","21:00","56.6","6.7","3.3","1"
"Helsinki Kallio 2","2022","10","6","22:00","58.2","6.6","3","1"
"Helsinki Kallio 2","2022","10","6","23:00","58.6","7.9","4.4","1"
"Helsinki Kallio 2","2022","10","7","00:00","56.8","7.7","4","1"
"Helsinki Kallio 2","2022","10","7","01:00","55.8","7.6","4.1","1"
"Helsinki Kallio 2","2022","10","7","02:00","57.1","7.3","3.3","1"
"Helsinki Kallio 2","2022","10","7","03:00","58.5","8.4","4.1","1"
"Helsinki Kallio 2","2022","10","7","04:00","56.3","8.3","4.5","1"
"Helsinki Kallio 2","2022","10","7","05:00","54.8","8.1","4.6","1"
"Helsinki Kallio 2","2022","10","7","06:00","52.8","8.5","4.8","1"
"Helsinki Kallio 2","2022","10","7","07:00","49.4","10.7","5.8","1"
"Helsinki Kallio 2","2022","10","7","08:00","47.5","12.9","7","1"
"Helsinki Kallio 2","2022","10","7","09:00","45.4","13.8","7.3","1"
